年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2012/2/1,-7.6,63,曇
2012/4/11,7.7,71,雨
2012/4/14,6.7,60,晴
2012/4/15,5,70,晴
2012/4/17,6.6,83,雨
2012/4/19,9.2,70,曇
2012/5/4,13.5,91,雨
2012/5/11,8.8,64,曇
2012/5/15,11.7,78,雨
2012/5/16,11.6,87,雨
2012/5/21,13.8,70,晴
2012/5/23,15.4,63,曇
2012/6/6,18,73,雨
2012/6/19,17.5,73,曇
2012/6/21,15.8,71,曇
2012/6/22,14.3,88,雨
2012/6/26,19,69,晴
2012/6/28,21.7,48,晴
2012/7/1,21.5,54,曇
2012/7/12,19.9,93,雨
2012/7/25,23.7,77,曇
2012/7/31,26.5,74,曇
2012/8/5,22.1,84,雨
2012/8/15,22,62,曇
2012/8/19,24,77,曇
2012/8/31,24.8,67,曇
2012/9/3,26.6,69,晴
2012/9/10,22.1,90,雨
2012/9/11,21.8,89,雨
2012/9/24,19.2,70,曇
2012/10/5,16.2,70,曇
2012/10/28,11.1,75,雨
2012/10/30,9.3,78,曇
2012/11/2,9.1,84,雨
2012/11/4,8.6,81,雨
2012/11/6,10.9,82,雨
2012/11/7,10.1,92,雨
2012/11/9,9.8,76,雨
2012/11/14,7.5,79,雨
2012/11/17,6.7,85,雨
2012/12/15,-0.6,69,曇
2013/1/14,-5.3,64,曇
2013/2/1,1.7,72,曇
2013/3/18,4.8,76,雨
2013/4/6,7.4,65,曇
2013/4/17,4.4,81,雨
2013/4/25,8.8,64,雨
2013/4/27,7,83,雨
2013/5/3,4.6,84,雨
2013/5/4,5.9,86,雨
2013/5/5,7.8,79,雨
2013/5/12,10.7,79,曇
2013/5/14,10.3,79,曇
2013/5/15,9.6,80,雨
2013/5/18,12.8,70,曇
2013/5/22,13,81,雨
2013/5/25,13.3,66,曇
2013/5/29,15.3,78,雨
2013/5/31,20.7,52,晴
2013/6/11,20,67,晴
2013/6/12,18.8,66,晴
2013/6/14,20.6,84,雨
2013/6/19,18.3,86,曇
2013/6/21,15,84,雨
2013/6/29,16.4,69,晴
2013/7/12,21.8,76,曇
2013/7/25,18.7,80,雨
2013/7/29,23.1,84,雨
2013/8/16,26.7,75,曇
2013/8/30,19.3,91,雨
2013/8/31,19.1,89,雨
2013/9/2,20.2,85,雨
2013/9/3,20.6,90,雨
2013/9/7,19,83,曇
2013/9/16,17.9,88,雨
2013/9/19,17.3,50,曇
2013/9/20,19.5,64,曇
2013/9/25,14.6,88,雨
2013/9/30,17,91,雨
2013/10/8,17.1,65,曇
2013/10/10,14.8,72,晴
2013/10/19,9.6,70,晴
2013/10/25,13,90,雨
2013/11/17,5.4,71,晴
2013/11/23,6.5,70,雨
2013/11/25,7.7,75,雨
2013/12/21,-0.1,55,曇
2014/1/18,-6,68,曇
2014/2/15,-4.1,68,曇
2014/2/24,-2.6,66,晴
2014/4/4,2.4,87,雨
2014/4/7,4.5,58,晴
2014/4/8,3.9,51,晴
2014/4/14,7.7,39,晴
2014/4/15,9.1,42,曇
2014/4/19,3.6,52,晴
2014/4/24,12.5,53,晴
2014/4/25,14.5,42,晴
2014/4/26,16.4,36,晴
2014/4/29,9.6,40,晴
2014/4/30,12.8,52,曇
2014/5/8,14.5,45,曇
2014/5/12,18.2,39,曇
2014/5/15,14.6,74,曇
2014/5/16,10.3,91,雨
2014/5/17,7,81,雨
2014/5/18,8.5,79,雨
2014/5/24,12.7,68,曇
2014/6/3,23.9,45,晴
2014/6/6,18.8,62,曇
2014/6/10,19.6,76,雨
2014/6/12,17.9,83,雨
2014/6/13,15.7,92,雨
2014/6/17,17,85,雨
2014/6/25,20,70,晴
2014/6/28,21.9,73,曇
2014/7/6,19.8,72,曇
2014/7/7,21.8,72,曇
2014/7/29,23.9,61,晴
2014/7/31,26.1,63,曇
2014/8/5,24.9,90,雨
2014/8/7,22.4,87,雨
2014/8/12,23.9,59,曇
2014/8/15,20.9,74,曇
2014/8/19,20.6,88,雨
2014/8/21,22.7,73,曇
2014/8/24,24,66,曇
2014/9/4,18.7,84,雨
2014/9/10,19.8,77,曇
2014/9/18,14.8,66,雨
2014/9/21,16.4,59,晴
2014/9/24,18.1,66,曇
2014/9/29,15.2,59,曇
2014/9/30,13,71,雨
2014/10/2,13.7,62,曇
2014/10/6,10.8,69,曇
2014/10/13,12.2,62,曇
2014/10/14,8.5,78,雨
2014/10/15,9.9,61,晴
2014/10/19,11.9,57,晴
2014/10/20,15.6,62,曇
2014/10/23,6.8,56,晴
2014/10/25,14.2,69,曇
2014/10/27,9.4,73,雨
2014/10/30,8.6,55,晴
2014/10/31,10.7,73,曇
2014/11/5,10.9,55,晴
2014/12/18,1,64,曇
2015/2/18,1.7,62,曇
2015/2/19,0.8,67,曇
2015/3/26,5.4,47,晴
2015/4/15,8.7,84,雨
2015/4/27,15.2,53,晴
2015/4/29,14.7,53,晴
2015/5/7,14,30,晴
2015/5/8,12.4,42,曇
2015/5/16,10.4,80,曇
2015/5/19,13.4,75,雨
2015/5/30,20.6,68,曇
2015/6/2,18.4,58,曇
2015/6/4,12.4,76,雨
2015/6/17,21,65,晴
2015/6/18,20.2,57,晴
2015/6/22,17.4,77,曇
2015/6/28,15.1,77,雨
2015/7/13,23.8,61,雨
2015/7/18,21.2,75,雨
2015/7/21,22.2,80,雨
2015/8/6,24.7,87,雨
2015/8/18,18.4,87,雨
2015/8/26,19.4,65,曇
2015/8/28,19.6,65,曇
2015/8/31,21.8,74,曇
2015/9/4,19.8,79,雨
2015/9/6,17.7,67,曇
2015/9/10,20.6,63,曇
2015/9/11,21.9,67,曇
2015/9/23,19.3,71,晴
2015/9/24,19,73,曇
2015/9/26,18.1,76,曇
2015/10/6,12.3,66,晴
2015/10/7,13.8,66,晴
2015/10/13,8.4,68,雨
2015/10/16,11.2,67,晴
2015/10/17,13.2,70,晴
2015/10/20,9.1,66,雨
2015/10/22,8.3,50,晴
2015/10/23,10.8,52,晴
2015/10/27,9.3,69,曇
2015/11/2,8.7,62,曇
2015/11/4,11.4,42,晴
2015/11/6,8.6,57,曇
2015/11/10,4.9,89,雨
2015/11/13,5.2,69,晴
2015/11/15,11,92,雨
2015/11/18,4.8,52,曇
2015/11/20,4.2,68,曇
2015/12/2,2.1,62,曇
2015/12/3,7,75,雨
2015/12/14,2.1,56,晴
2015/12/21,2.8,87,雨
2016/2/12,0.2,68,曇
2016/2/14,3.4,87,雨
2016/2/20,1.5,57,曇
2016/3/17,7.9,48,晴
2016/3/18,8.4,58,曇
2016/3/19,5.7,82,雨
2016/3/30,6.6,73,雨
2016/4/1,7,61,晴
2016/4/2,4.7,61,曇
2016/4/7,8.2,54,曇
2016/4/16,8,50,曇
2016/4/17,8.8,75,雨
2016/4/27,8.1,53,晴
2016/4/29,4.8,79,雨
2016/5/4,13.6,78,雨
2016/5/6,11.5,72,曇
2016/5/10,15.8,42,曇
2016/5/15,14.7,26,曇
2016/5/19,17.6,51,晴
2016/5/20,19.1,47,晴
2016/5/26,19.8,56,曇
2016/6/2,10.8,64,曇
2016/6/3,11.3,78,雨
2016/6/4,13.4,83,雨
2016/6/5,12.2,66,晴
2016/6/8,17.2,73,雨
2016/6/13,16.5,80,雨
2016/6/17,16.1,88,雨
2016/6/20,17.7,85,雨
2016/6/25,15.8,82,雨
2016/7/2,20.4,82,雨
2016/7/19,19.9,87,雨
2016/7/24,20.6,68,晴
2016/7/27,20.6,86,雨
2016/8/7,25.9,67,晴
2016/8/13,24.2,60,晴
2016/8/19,24.3,78,曇
2016/8/27,20.3,59,晴
2016/9/4,22.8,71,曇
2016/9/6,23.3,87,雨
2016/9/9,17.9,83,雨
2016/9/10,18.6,85,雨
2016/9/13,18.9,70,曇
2016/9/14,19.3,71,曇
2016/9/21,16.3,57,晴
2016/9/23,16.3,88,雨
2016/9/28,19,82,雨
2016/10/19,11.5,67,晴
2016/10/28,8.2,46,曇
2016/11/4,2.8,51,曇
2016/11/13,6.9,76,雨
2016/11/15,5.8,77,雨
2016/11/18,5.1,69,雨
2016/12/3,3.6,45,晴
2016/12/19,1,61,晴
2017/1/16,-0.1,62,曇
2017/2/6,-0.8,63,曇
2017/2/10,-1.5,61,曇
2017/3/14,1.2,61,曇
2017/3/21,3.8,58,曇
2017/4/10,6.6,43,晴
2017/4/11,6.9,57,曇
2017/4/22,4.5,82,雨
2017/5/4,18.1,34,晴
2017/5/9,12.5,50,晴
2017/5/23,14.6,65,曇
2017/5/28,13,87,雨
2017/6/1,16.5,84,雨
2017/6/4,9.6,81,雨
2017/6/7,16,58,曇
2017/6/8,16.2,74,雨
2017/6/15,14.8,79,雨
2017/6/22,16.8,87,雨
2017/6/25,15.3,92,雨
2017/6/27,15.8,69,曇
2017/6/30,22.5,60,晴
2017/7/2,20.3,81,曇
2017/7/6,23,64,晴
2017/7/14,27.7,59,晴
2017/7/18,18.8,86,雨
2017/7/21,24,76,曇
2017/7/22,21.8,79,曇
2017/7/24,22,74,曇
2017/7/28,20.5,73,雨
2017/8/10,21.9,76,曇
2017/8/12,18.4,87,雨
2017/8/24,23.8,78,雨
2017/8/28,20.6,63,曇
2017/9/12,16.4,88,雨
2017/9/18,16.3,78,雨
2017/10/3,12.1,62,雨
2017/10/24,9.3,60,晴
2017/10/25,10.3,59,晴
2017/10/27,9.2,58,晴
2017/10/29,15.3,68,曇
2017/11/11,7.2,69,雨
2017/11/22,3.3,73,雨
2017/12/13,-0.5,57,曇
2018/1/8,2.1,69,曇
2018/1/16,-0.2,55,曇
2018/2/2,-6.5,64,晴
2018/2/3,-3.9,64,曇
2018/3/22,3.2,59,曇
2018/4/11,8.5,65,雨
2018/4/15,4.2,84,雨
2018/4/17,10.1,43,晴
2018/4/24,10.3,61,曇
2018/4/30,17.5,46,曇
2018/5/29,16.5,58,晴
2018/5/31,17.1,83,雨
2018/6/4,22,49,晴
2018/6/6,22.1,48,晴
2018/6/11,14.1,71,曇
2018/6/12,11.2,92,雨
2018/6/13,9.4,87,雨
2018/6/17,13.2,66,曇
2018/6/25,13.5,69,曇
2018/6/28,19.1,82,曇
2018/7/1,22.4,89,雨
2018/7/3,22.1,91,雨
2018/7/5,14.1,86,雨
2018/7/12,20.8,71,曇
2018/7/13,20.4,80,雨
2018/7/14,22.8,76,曇
2018/7/17,20.1,76,曇
2018/7/21,24.8,77,曇
2018/7/27,24.8,72,晴
2018/8/10,22.6,91,雨
2018/8/12,22.9,80,曇
2018/8/13,22.4,88,雨
2018/8/15,20.3,97,雨
2018/8/16,16.9,93,雨
2018/8/25,20.6,87,雨
2018/8/29,19.4,74,曇
2018/8/30,19.9,88,雨
2018/9/8,21.3,65,曇
2018/9/10,16,62,曇
2018/9/16,21.3,72,曇
2018/9/27,15.3,70,曇
2018/10/4,14.7,60,晴
2018/10/11,16.2,80,曇
2018/10/18,10.2,72,雨
2018/10/19,9.6,71,晴
2018/10/21,12.2,71,晴
2018/11/1,7.5,89,雨
2018/11/3,9.3,74,晴
2018/11/6,10.9,79,曇
2018/11/16,9.3,63,曇
2018/11/19,5.7,76,雨
2018/12/2,3.5,57,晴
2018/12/23,1.8,83,曇
2019/2/19,0.8,69,曇
2019/3/7,0.1,54,晴
2019/4/5,4.5,75,雨
2019/4/13,10.3,41,晴
2019/4/16,10.6,59,晴
2019/4/17,15,44,晴
2019/4/22,10.1,48,晴
2019/5/2,10.4,79,雨
2019/5/5,16.8,37,晴
2019/5/13,12.6,59,晴
2019/5/15,14.9,71,曇
2019/5/25,20.6,49,晴
2019/6/4,16.7,81,雨
2019/6/15,17.3,82,雨
2019/6/16,16.3,80,雨
2019/6/27,18.7,79,曇
2019/7/7,20.2,68,晴
2019/7/8,19.8,70,晴
2019/7/9,20.5,69,晴
2019/7/10,20.5,70,晴
2019/7/15,21.3,74,曇
2019/7/16,21.2,73,曇
2019/7/18,22.3,76,曇
2019/7/26,24.3,82,雨
2019/7/30,29.8,66,曇
2019/8/16,25.2,89,雨
2019/8/21,21.2,78,曇
2019/9/14,20.3,69,曇
2019/9/23,13.9,91,雨
2019/9/28,17.7,66,晴
2019/10/1,17.8,64,晴
2019/10/2,19.2,73,晴
2019/10/4,16.6,95,雨
2019/10/5,14.5,84,雨
2019/10/8,15.5,87,雨
2019/10/12,15.2,66,曇
2019/10/23,13.3,78,晴
2019/10/25,13.3,66,曇
2019/10/28,9.7,62,晴
2019/11/22,2.7,65,晴
2019/11/23,7,78,晴
2019/12/2,3.8,92,雨
2019/12/11,6.8,87,曇
2019/12/21,-1.3,64,曇
2019/12/23,-3.7,72,曇
2020/1/7,-0.9,79,曇
2020/2/1,-1.2,64,曇
2020/3/2,1.1,77,曇
2020/3/4,1,74,曇
2020/3/20,6.2,71,雨
2020/3/25,4.9,52,晴
2020/3/30,5.6,51,晴
2020/4/2,7,56,曇
2020/4/14,5.7,59,晴
2020/4/26,7.7,81,雨
2020/5/4,16.7,70,曇
2020/5/10,12.4,82,雨
2020/5/16,13,72,曇
2020/5/18,9.6,65,曇
2020/5/20,10,56,曇
2020/5/21,11,54,晴
2020/5/30,21.4,46,晴
2020/5/31,19.9,46,晴
2020/6/8,14.8,78,曇
2020/6/14,21.3,68,曇
2020/6/23,19.7,75,曇
2020/6/25,17.5,71,雨
2020/6/26,17.2,77,雨
2020/7/16,20,74,曇
2020/7/18,21.4,71,晴
2020/7/30,22.1,71,晴
2020/8/21,19.9,69,曇
2020/8/30,16.1,93,雨
2020/8/31,17.4,77,曇
2020/9/3,23.3,82,雨
2020/9/12,17.4,80,曇
2020/9/18,20.1,89,雨
2020/9/25,15.5,68,曇
2020/9/27,16.2,67,曇
2020/11/15,6.4,69,曇
2020/11/20,11.5,94,雨
2020/11/29,2.3,59,曇
2021/1/24,-6.2,79,晴
2021/3/9,1.2,61,晴
2021/3/15,5.2,65,晴
2021/3/16,6,52,曇
2021/3/25,9.5,67,曇
2021/3/31,8.5,68,晴
2021/4/4,6.3,72,雨
2021/4/5,5.9,55,晴
2021/4/13,10.3,78,雨
2021/4/16,9.2,53,曇
2021/4/17,8.7,87,雨
2021/4/18,8.1,93,雨
2021/4/24,11.6,60,曇
2021/4/27,9.4,48,晴
2021/4/28,11.8,43,曇
2021/4/29,12.8,61,曇
2021/5/1,7.2,77,曇
2021/5/10,9,78,雨
2021/5/13,13.3,70,曇
2021/5/15,15.8,50,曇
2021/5/16,13.6,85,雨
2021/5/24,13.7,91,曇
2021/5/28,13,87,雨
2021/6/4,16.9,84,雨
2021/6/17,18.6,75,晴
2021/6/19,15.9,77,曇
2021/7/6,20.3,88,雨
2021/7/11,21.8,75,曇
2021/7/14,22.8,70,晴
2021/7/19,27.8,65,晴
2021/7/26,26.1,61,晴
2021/8/1,28.6,69,曇
2021/8/18,17.6,93,雨
2021/8/25,20.6,91,雨
2021/9/28,17.5,78,曇
2021/9/30,19.3,92,雨
